,sentiment
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,0
9,1
10,1
11,1
12,0
13,1
14,1
15,1
16,1
17,0
18,0
19,0
20,0
21,1
22,1
23,0
24,1
25,1
26,1
27,0
28,0
29,0
30,0
31,1
32,1
33,1
34,1
35,0
36,1
37,0
38,1
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,1
50,0
51,1
52,1
53,1
54,1
55,0
56,1
57,0
58,0
59,0
60,1
61,1
62,0
63,0
64,0
65,1
66,1
67,0
68,0
69,0
70,0
71,0
72,1
73,0
74,1
75,0
76,1
77,1
78,0
79,0
80,1
81,0
82,1
83,1
84,1
85,1
86,0
87,0
88,1
89,1
90,0
91,1
92,1
93,1
94,0
95,0
96,1
97,1
98,1
99,1
100,0
101,1
102,1
103,1
104,1
105,1
106,1
107,0
108,0
109,1
110,0
111,1
112,0
113,0
114,0
115,1
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,0
124,0
125,0
126,0
127,1
128,1
129,1
130,1
131,1
132,0
133,1
134,1
135,1
136,0
137,0
138,1
139,1
140,1
141,0
142,0
143,0
144,1
145,1
146,0
147,1
148,1
149,1
150,1
151,0
152,1
153,1
154,1
155,1
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,1
164,1
165,1
166,1
167,0
168,0
169,1
170,1
171,1
172,1
173,0
174,0
175,1
176,1
177,1
178,0
179,1
180,0
181,0
182,0
183,0
184,0
185,1
186,0
187,1
188,1
189,0
190,1
191,0
192,0
193,1
194,1
195,0
196,0
197,0
198,1
199,1
200,0
201,0
202,0
203,0
204,0
205,1
206,1
207,1
208,1
209,1
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,1
218,1
219,0
220,1
221,1
222,1
223,1
224,0
225,0
226,1
227,1
228,1
229,0
230,0
231,0
232,1
233,1
234,0
235,0
236,0
237,1
238,0
239,0
240,0
241,1
242,0
243,0
244,1
245,1
246,0
247,0
248,0
249,1
